ano_competencia,mes_competencia,municipio,sigla_uf,valor_parcela
2023,9,Barra de Santo Antônio,AL,205.0
2023,9,Barra de Santo Antônio,AL,205.0
2023,9,Barra de Santo Antônio,AL,205.0
2023,9,Barra de Santo Antônio,AL,205.0
2023,9,Barra de Santo Antônio,AL,205.0
2023,9,Barra de Santo Antônio,AL,205.0
2023,9,Barra de Santo Antônio,AL,205.0
2023,9,Barra de São Miguel,AL,205.0
2023,9,Batalha,AL,205.0
2023,9,Batalha,AL,205.0
2023,9,Boca da Mata,AL,205.0
2023,9,Boca da Mata,AL,205.0
2023,9,Boca da Mata,AL,205.0
2023,9,Branquinha,AL,205.0
2023,9,Cacimbinhas,AL,205.0
2023,9,Cajueiro,AL,205.0
2023,9,Cajueiro,AL,205.0
2023,9,Cajueiro,AL,205.0
2023,9,Cajueiro,AL,205.0
2023,9,Cajueiro,AL,205.0
2023,9,Cajueiro,AL,205.0
2023,9,Cajueiro,AL,205.0
2023,9,Cajueiro,AL,205.0
